date,ABNB_unscaled
2024-01-01,67
2024-01-02,71
2024-01-03,72
2024-01-04,80
2024-01-05,67
2024-01-06,50
2024-01-07,56
2024-01-08,73
2024-01-09,80
2024-01-10,64
2024-01-11,70
2024-01-12,83
2024-01-13,59
2024-01-14,61
2024-01-15,65
2024-01-16,69
2024-01-17,57
2024-01-18,63
2024-01-19,78
2024-01-20,46
2024-01-21,58
2024-01-22,82
2024-01-23,73
2024-01-24,60
2024-01-25,84
2024-01-26,100
2024-01-27,52
2024-01-28,52
2024-01-29,78
2024-01-30,100
2024-01-31,80
2024-02-01,31
2024-02-02,34
2024-02-03,26
2024-02-04,22
2024-02-05,28
2024-02-06,29
2024-02-07,34
2024-02-08,40
2024-02-09,40
2024-02-10,22
2024-02-11,19
2024-02-12,51
2024-02-13,100
2024-02-14,99
2024-02-15,51
2024-02-16,42
2024-02-17,25
2024-02-18,21
2024-02-19,33
2024-02-20,37
2024-02-21,36
2024-02-22,41
2024-02-23,35
2024-02-24,27
2024-02-25,24
2024-02-26,30
2024-02-27,36
2024-02-28,29
2024-02-29,33
2024-03-01,98
2024-03-02,88
2024-03-03,71
2024-03-04,91
2024-03-05,93
2024-03-06,97
2024-03-07,86
2024-03-08,91
2024-03-09,81
2024-03-10,52
2024-03-11,90
2024-03-12,82
2024-03-13,82
2024-03-14,100
2024-03-15,94
2024-03-16,73
2024-03-17,44
2024-03-18,86
2024-03-19,81
2024-03-20,67
2024-03-21,84
2024-03-22,75
2024-03-23,58
2024-03-24,53
2024-03-25,79
2024-03-26,76
2024-03-27,76
2024-03-28,64
2024-03-29,77
2024-03-30,47
2024-03-31,49
