date,ADBE_unscaled
2024-01-01,23
2024-01-02,78
2024-01-03,81
2024-01-04,69
2024-01-05,77
2024-01-06,33
2024-01-07,24
2024-01-08,77
2024-01-09,84
2024-01-10,90
2024-01-11,86
2024-01-12,69
2024-01-13,27
2024-01-14,14
2024-01-15,39
2024-01-16,66
2024-01-17,69
2024-01-18,61
2024-01-19,65
2024-01-20,32
2024-01-21,28
2024-01-22,80
2024-01-23,71
2024-01-24,85
2024-01-25,100
2024-01-26,78
2024-01-27,31
2024-01-28,32
2024-01-29,82
2024-01-30,87
2024-01-31,84
2024-02-01,55
2024-02-02,58
2024-02-03,17
2024-02-04,21
2024-02-05,44
2024-02-06,52
2024-02-07,52
2024-02-08,42
2024-02-09,42
2024-02-10,16
2024-02-11,16
2024-02-12,36
2024-02-13,39
2024-02-14,41
2024-02-15,31
2024-02-16,100
2024-02-17,47
2024-02-18,24
2024-02-19,41
2024-02-20,76
2024-02-21,60
2024-02-22,75
2024-02-23,66
2024-02-24,20
2024-02-25,18
2024-02-26,51
2024-02-27,43
2024-02-28,44
2024-02-29,52
2024-03-01,17
2024-03-02,9
2024-03-03,6
2024-03-04,17
2024-03-05,18
2024-03-06,18
2024-03-07,22
2024-03-08,19
2024-03-09,4
2024-03-10,5
2024-03-11,23
2024-03-12,26
2024-03-13,32
2024-03-14,69
2024-03-15,100
2024-03-16,20
2024-03-17,13
2024-03-18,36
2024-03-19,37
2024-03-20,26
2024-03-21,23
2024-03-22,25
2024-03-23,5
2024-03-24,9
2024-03-25,16
2024-03-26,22
2024-03-27,28
2024-03-28,24
2024-03-29,8
2024-03-30,6
2024-03-31,7
