date,AMZN_unscaled
2024-01-01,17
2024-01-02,66
2024-01-03,60
2024-01-04,64
2024-01-05,64
2024-01-06,19
2024-01-07,13
2024-01-08,60
2024-01-09,69
2024-01-10,72
2024-01-11,78
2024-01-12,70
2024-01-13,23
2024-01-14,17
2024-01-15,27
2024-01-16,60
2024-01-17,55
2024-01-18,55
2024-01-19,63
2024-01-20,24
2024-01-21,16
2024-01-22,63
2024-01-23,67
2024-01-24,80
2024-01-25,75
2024-01-26,81
2024-01-27,24
2024-01-28,21
2024-01-29,85
2024-01-30,94
2024-01-31,100
2024-02-01,83
2024-02-02,100
2024-02-03,20
2024-02-04,11
2024-02-05,39
2024-02-06,34
2024-02-07,33
2024-02-08,33
2024-02-09,34
2024-02-10,15
2024-02-11,10
2024-02-12,33
2024-02-13,31
2024-02-14,31
2024-02-15,29
2024-02-16,29
2024-02-17,8
2024-02-18,6
2024-02-19,12
2024-02-20,29
2024-02-21,32
2024-02-22,36
2024-02-23,32
2024-02-24,10
2024-02-25,8
2024-02-26,25
2024-02-27,24
2024-02-28,22
2024-02-29,25
2024-03-01,98
2024-03-02,30
2024-03-03,19
2024-03-04,93
2024-03-05,88
2024-03-06,82
2024-03-07,86
2024-03-08,93
2024-03-09,23
2024-03-10,19
2024-03-11,78
2024-03-12,79
2024-03-13,79
2024-03-14,81
2024-03-15,78
2024-03-16,25
2024-03-17,18
2024-03-18,78
2024-03-19,78
2024-03-20,83
2024-03-21,100
2024-03-22,82
2024-03-23,26
2024-03-24,24
2024-03-25,78
2024-03-26,77
2024-03-27,77
2024-03-28,90
2024-03-29,46
2024-03-30,20
2024-03-31,18
