date,GOOG_unscaled
2024-01-01,28
2024-01-02,47
2024-01-03,48
2024-01-04,48
2024-01-05,45
2024-01-06,34
2024-01-07,30
2024-01-08,50
2024-01-09,53
2024-01-10,54
2024-01-11,57
2024-01-12,51
2024-01-13,30
2024-01-14,29
2024-01-15,40
2024-01-16,48
2024-01-17,52
2024-01-18,53
2024-01-19,52
2024-01-20,34
2024-01-21,29
2024-01-22,58
2024-01-23,53
2024-01-24,56
2024-01-25,60
2024-01-26,56
2024-01-27,38
2024-01-28,36
2024-01-29,65
2024-01-30,94
2024-01-31,100
2024-02-01,100
2024-02-02,91
2024-02-03,51
2024-02-04,48
2024-02-05,86
2024-02-06,80
2024-02-07,78
2024-02-08,81
2024-02-09,79
2024-02-10,48
2024-02-11,43
2024-02-12,79
2024-02-13,84
2024-02-14,76
2024-02-15,79
2024-02-16,73
2024-02-17,43
2024-02-18,46
2024-02-19,64
2024-02-20,72
2024-02-21,75
2024-02-22,81
2024-02-23,74
2024-02-24,46
2024-02-25,47
2024-02-26,87
2024-02-27,86
2024-02-28,87
2024-02-29,86
2024-03-01,71
2024-03-02,44
2024-03-03,45
2024-03-04,86
2024-03-05,80
2024-03-06,77
2024-03-07,78
2024-03-08,79
2024-03-09,43
2024-03-10,40
2024-03-11,76
2024-03-12,74
2024-03-13,76
2024-03-14,74
2024-03-15,73
2024-03-16,44
2024-03-17,42
2024-03-18,100
2024-03-19,86
2024-03-20,78
2024-03-21,75
2024-03-22,71
2024-03-23,47
2024-03-24,40
2024-03-25,77
2024-03-26,71
2024-03-27,71
2024-03-28,71
2024-03-29,56
2024-03-30,39
2024-03-31,38
