date,MSFT_unscaled
2024-01-01,7
2024-01-02,24
2024-01-03,24
2024-01-04,24
2024-01-05,24
2024-01-06,8
2024-01-07,7
2024-01-08,24
2024-01-09,25
2024-01-10,29
2024-01-11,37
2024-01-12,36
2024-01-13,13
2024-01-14,7
2024-01-15,14
2024-01-16,34
2024-01-17,32
2024-01-18,33
2024-01-19,39
2024-01-20,15
2024-01-21,9
2024-01-22,36
2024-01-23,33
2024-01-24,44
2024-01-25,47
2024-01-26,38
2024-01-27,13
2024-01-28,9
2024-01-29,44
2024-01-30,100
2024-01-31,94
2024-02-01,100
2024-02-02,90
2024-02-03,26
2024-02-04,17
2024-02-05,61
2024-02-06,60
2024-02-07,62
2024-02-08,68
2024-02-09,71
2024-02-10,24
2024-02-11,16
2024-02-12,60
2024-02-13,65
2024-02-14,61
2024-02-15,62
2024-02-16,61
2024-02-17,22
2024-02-18,15
2024-02-19,24
2024-02-20,57
2024-02-21,60
2024-02-22,77
2024-02-23,68
2024-02-24,20
2024-02-25,13
2024-02-26,52
2024-02-27,53
2024-02-28,45
2024-02-29,50
2024-03-01,95
2024-03-02,29
2024-03-03,24
2024-03-04,81
2024-03-05,93
2024-03-06,95
2024-03-07,92
2024-03-08,87
2024-03-09,23
2024-03-10,19
2024-03-11,72
2024-03-12,84
2024-03-13,81
2024-03-14,100
2024-03-15,92
2024-03-16,29
2024-03-17,17
2024-03-18,83
2024-03-19,95
2024-03-20,96
2024-03-21,94
2024-03-22,86
2024-03-23,28
2024-03-24,23
2024-03-25,85
2024-03-26,76
2024-03-27,84
2024-03-28,71
2024-03-29,42
2024-03-30,20
2024-03-31,18
