date,NVDA_unscaled
2024-01-01,10
2024-01-02,48
2024-01-03,46
2024-01-04,42
2024-01-05,44
2024-01-06,14
2024-01-07,9
2024-01-08,68
2024-01-09,87
2024-01-10,77
2024-01-11,73
2024-01-12,63
2024-01-13,16
2024-01-14,11
2024-01-15,20
2024-01-16,68
2024-01-17,62
2024-01-18,77
2024-01-19,87
2024-01-20,27
2024-01-21,18
2024-01-22,83
2024-01-23,69
2024-01-24,100
2024-01-25,89
2024-01-26,78
2024-01-27,22
2024-01-28,14
2024-01-29,69
2024-01-30,85
2024-01-31,76
2024-02-01,16
2024-02-02,21
2024-02-03,7
2024-02-04,4
2024-02-05,24
2024-02-06,28
2024-02-07,24
2024-02-08,25
2024-02-09,24
2024-02-10,9
2024-02-11,5
2024-02-12,24
2024-02-13,26
2024-02-14,23
2024-02-15,25
2024-02-16,25
2024-02-17,8
2024-02-18,5
2024-02-19,10
2024-02-20,40
2024-02-21,100
2024-02-22,99
2024-02-23,62
2024-02-24,15
2024-02-25,8
2024-02-26,29
2024-02-27,23
2024-02-28,24
2024-02-29,24
2024-03-01,47
2024-03-02,17
2024-03-03,11
2024-03-04,57
2024-03-05,53
2024-03-06,50
2024-03-07,65
2024-03-08,100
2024-03-09,31
2024-03-10,17
2024-03-11,65
2024-03-12,61
2024-03-13,61
2024-03-14,52
2024-03-15,49
2024-03-16,13
2024-03-17,10
2024-03-18,66
2024-03-19,70
2024-03-20,52
2024-03-21,51
2024-03-22,48
2024-03-23,15
2024-03-24,10
2024-03-25,45
2024-03-26,46
2024-03-27,47
2024-03-28,42
2024-03-29,18
2024-03-30,8
2024-03-31,7
