date,NVDA_unscaled,NVDA_monthly,isPartial,scale,NVDA
2024-01-01,11,2,False,0.02,0.22
2024-01-02,53,11,False,0.11,5.83
2024-01-03,51,10,False,0.1,5.1000000000000005
2024-01-04,46,9,False,0.09,4.14
2024-01-05,49,10,False,0.1,4.9
2024-01-06,15,3,False,0.03,0.44999999999999996
2024-01-07,10,2,False,0.02,0.2
2024-01-08,76,15,False,0.15,11.4
2024-01-09,96,19,False,0.19,18.240000000000002
2024-01-10,85,17,False,0.17,14.450000000000001
2024-01-11,82,16,False,0.16,13.120000000000001
2024-01-12,67,13,False,0.13,8.71
2024-01-13,18,3,False,0.03,0.54
2024-01-14,13,2,False,0.02,0.26
2024-01-15,22,4,False,0.04,0.88
2024-01-16,73,15,False,0.15,10.95
2024-01-17,69,14,False,0.14,9.66
2024-01-18,84,17,False,0.17,14.280000000000001
2024-01-19,96,19,False,0.19,18.240000000000002
2024-01-20,30,6,False,0.06,1.7999999999999998
2024-01-21,20,4,False,0.04,0.8
2024-01-22,92,18,False,0.18,16.56
2024-01-23,77,15,False,0.15,11.549999999999999
2024-01-24,100,20,False,0.2,20.0
2024-01-25,93,18,False,0.18,16.74
2024-01-26,86,17,False,0.17,14.620000000000001
2024-01-27,24,5,False,0.05,1.2000000000000002
2024-01-28,16,3,False,0.03,0.48
2024-01-29,76,15,False,0.15,11.4
2024-01-30,95,19,False,0.19,18.05
2024-01-31,85,17,False,0.17,14.450000000000001
2024-02-01,16,16,False,0.16,2.56
2024-02-02,21,21,False,0.21,4.41
2024-02-03,7,7,False,0.07,0.49000000000000005
2024-02-04,4,4,False,0.04,0.16
2024-02-05,24,24,False,0.24,5.76
2024-02-06,26,26,False,0.26,6.76
2024-02-07,24,24,False,0.24,5.76
2024-02-08,24,24,False,0.24,5.76
2024-02-09,24,24,False,0.24,5.76
2024-02-10,9,9,False,0.09,0.8099999999999999
2024-02-11,5,5,False,0.05,0.25
2024-02-12,26,26,False,0.26,6.76
2024-02-13,27,27,False,0.27,7.290000000000001
2024-02-14,27,27,False,0.27,7.290000000000001
2024-02-15,24,24,False,0.24,5.76
2024-02-16,25,25,False,0.25,6.25
2024-02-17,8,8,False,0.08,0.64
2024-02-18,5,5,False,0.05,0.25
2024-02-19,10,10,False,0.1,1.0
2024-02-20,39,39,False,0.39,15.21
2024-02-21,100,100,False,1.0,100.0
2024-02-22,96,96,False,0.96,92.16
2024-02-23,60,60,False,0.6,36.0
2024-02-24,15,15,False,0.15,2.25
2024-02-25,8,8,False,0.08,0.64
2024-02-26,30,30,False,0.3,9.0
2024-02-27,26,26,False,0.26,6.76
2024-02-28,23,23,False,0.23,5.29
2024-02-29,24,24,False,0.24,5.76
2024-03-01,46,24,False,0.24,11.04
2024-03-02,18,10,False,0.1,1.8
2024-03-03,12,6,False,0.06,0.72
2024-03-04,58,31,False,0.31,17.98
2024-03-05,57,30,False,0.3,17.099999999999998
2024-03-06,54,28,False,0.28,15.120000000000001
2024-03-07,70,37,False,0.37,25.9
2024-03-08,100,53,False,0.53,53.0
2024-03-09,33,18,False,0.18,5.9399999999999995
2024-03-10,18,9,False,0.09,1.6199999999999999
2024-03-11,65,35,False,0.35,22.75
2024-03-12,65,35,False,0.35,22.75
2024-03-13,67,36,False,0.36,24.119999999999997
2024-03-14,58,31,False,0.31,17.98
2024-03-15,53,28,False,0.28,14.840000000000002
2024-03-16,13,7,False,0.07,0.9100000000000001
2024-03-17,11,6,False,0.06,0.6599999999999999
2024-03-18,71,38,False,0.38,26.98
2024-03-19,73,39,False,0.39,28.470000000000002
2024-03-20,60,32,False,0.32,19.2
2024-03-21,57,30,False,0.3,17.099999999999998
2024-03-22,48,25,False,0.25,12.0
2024-03-23,16,8,False,0.08,1.28
2024-03-24,11,6,False,0.06,0.6599999999999999
2024-03-25,53,28,False,0.28,14.840000000000002
2024-03-26,48,25,False,0.25,12.0
2024-03-27,49,26,False,0.26,12.74
2024-03-28,51,27,False,0.27,13.770000000000001
2024-03-29,19,10,False,0.1,1.9000000000000001
2024-03-30,9,5,False,0.05,0.45
2024-03-31,7,4,False,0.04,0.28
